Title,Category,Release date,Ratings,Metascore,Page URL
2046,movie,"AUG 5, 2005",R,78,https://www.metacritic.com/movie/2046/
The Bee Gees: How Can You Mend a Broken Heart,movie,"DEC 12, 2020",TV-MA,78,https://www.metacritic.com/movie/the-bee-gees-how-can-you-mend-a-broken-heart/
A Quiet Passion,movie,"APR 14, 2017",PG-13,78,https://www.metacritic.com/movie/a-quiet-passion/
My Darling Vivian,movie,"JUN 19, 2020",TV-MA,78,https://www.metacritic.com/movie/my-darling-vivian/
Nothing Sacred,movie,"NOV 26, 1937",TV-PG,78,https://www.metacritic.com/movie/nothing-sacred/
Tickling Giants,movie,"MAR 15, 2017",TV-14,78,https://www.metacritic.com/movie/tickling-giants/
A Man of Integrity,movie,"JUN 17, 2022",PG-13,78,https://www.metacritic.com/movie/a-man-of-integrity/
Abortion: Stories Women Tell,movie,"AUG 12, 2016",TV-14,78,https://www.metacritic.com/movie/abortion-stories-women-tell/
Pusher II: With Blood On My Hands,movie,"AUG 18, 2006",Not Rated,78,https://www.metacritic.com/movie/pusher-ii-with-blood-on-my-hands/
Kung Fu Hustle,movie,"APR 8, 2005",R,78,https://www.metacritic.com/movie/kung-fu-hustle/
Apollo 13,movie,"JUN 30, 1995",PG,78,https://www.metacritic.com/movie/apollo-13/
Crock of Gold: A Few Rounds with Shane MacGowan,movie,"DEC 4, 2020",N/A,77,https://www.metacritic.com/movie/crock-of-gold-a-few-rounds-with-shane-macgowan/
Meru,movie,"AUG 14, 2015",R,77,https://www.metacritic.com/movie/meru/
The Personal History of David Copperfield,movie,"AUG 28, 2020",PG,77,https://www.metacritic.com/movie/the-personal-history-of-david-copperfield/
Rita Moreno: Just a Girl Who Decided to Go for It,movie,"JUN 18, 2021",PG-13,77,https://www.metacritic.com/movie/rita-moreno-just-a-girl-who-decided-to-go-for-it/
Clemency,movie,"DEC 27, 2019",R,77,https://www.metacritic.com/movie/clemency/
Command and Control,movie,"SEP 14, 2016",PG,77,https://www.metacritic.com/movie/command-and-control/
Fancy Dance,movie,"JUN 21, 2024",R,77,https://www.metacritic.com/movie/fancy-dance/
Panic,movie,"JAN 12, 2001",R,77,https://www.metacritic.com/movie/panic/
 Panic,movie,"JAN 12, 2001",R,77,https://www.metacritic.com/movie/panic/
My Own Private Idaho,movie,"OCT 18, 1991",R,77,https://www.metacritic.com/movie/my-own-private-idaho/
The Aviator,movie,"DEC 17, 2004",PG-13,77,https://www.metacritic.com/movie/the-aviator/
Till,movie,"OCT 14, 2022",PG-13,77,https://www.metacritic.com/movie/till/
A Talking Picture,movie,"DEC 10, 2004",Not Rated,77,https://www.metacritic.com/movie/a-talking-picture/
Magnificent Obsession,movie,"AUG 7, 1954",Approved,77,https://www.metacritic.com/movie/magnificent-obsession/
Hukkle,movie,"NOV 14, 2003",Unrated,77,https://www.metacritic.com/movie/hukkle/
The Big Red One,movie,"JUL 18, 1980",PG,77,https://www.metacritic.com/movie/the-big-red-one/
Voyage of Time: The IMAX Experience,movie,"OCT 7, 2016",G,77,https://www.metacritic.com/movie/voyage-of-time-the-imax-experience/
Abuse of Weakness,movie,"AUG 15, 2014",Unrated,77,https://www.metacritic.com/movie/abuse-of-weakness/
Asia,movie,"JUN 11, 2021",N/A,77,https://www.metacritic.com/movie/asia/
Trapped,movie,"MAR 4, 2016",Not Rated,77,https://www.metacritic.com/movie/trapped-2016/
Have a Nice Day,movie,"JAN 26, 2018",N/A,77,https://www.metacritic.com/movie/have-a-nice-day/
Zero Days,movie,"JUL 8, 2016",PG-13,77,https://www.metacritic.com/movie/zero-days/
Nope,movie,"JUL 22, 2022",R,77,https://www.metacritic.com/movie/nope/
Kramer vs. Kramer,movie,"DEC 19, 1979",PG,77,https://www.metacritic.com/movie/kramer-vs-kramer/
The Misfits,movie,"FEB 1, 1961",Approved,77,https://www.metacritic.com/movie/the-misfits/
They'll Love Me When I'm Dead,movie,"NOV 2, 2018",TV-MA,77,https://www.metacritic.com/movie/theyll-love-me-when-im-dead/
The Shootist,movie,"AUG 20, 1976",PG,77,https://www.metacritic.com/movie/the-shootist/
Finding Dory,movie,"JUN 17, 2016",PG,77,https://www.metacritic.com/movie/finding-dory/
A Clockwork Orange,movie,"DEC 20, 1971",TV-MA,77,https://www.metacritic.com/movie/a-clockwork-orange/
Rescue Dawn,movie,"JUL 4, 2007",PG-13,77,https://www.metacritic.com/movie/rescue-dawn/
No Way Out,movie,"AUG 14, 1987",R,77,https://www.metacritic.com/movie/no-way-out/
Human Flow,movie,"OCT 13, 2017",PG-13,77,https://www.metacritic.com/movie/human-flow/
 Happy Feet,movie,"NOV 17, 2006",PG,77,https://www.metacritic.com/movie/happy-feet/
Facing the Music,movie,"APR 24, 2002",N/A,77,https://www.metacritic.com/movie/facing-the-music/
The Weather Underground,movie,"JUN 4, 2003",Unrated,77,https://www.metacritic.com/movie/the-weather-underground/
China Heavyweight,movie,"JUL 6, 2012",Not Rated,77,https://www.metacritic.com/movie/china-heavyweight/
Sleeper,movie,"DEC 17, 1973",PG,77,https://www.metacritic.com/movie/sleeper/
Jiro Dreams of Sushi,movie,"MAR 9, 2012",PG,77,https://www.metacritic.com/movie/jiro-dreams-of-sushi/
The Dark Horse,movie,"APR 1, 2016",R,77,https://www.metacritic.com/movie/the-dark-horse/
Seduced and Abandoned,movie,"OCT 18, 2013",Not Rated,77,https://www.metacritic.com/movie/seduced-and-abandoned/
Islands,movie,"APR 12, 2022",N/A,77,https://www.metacritic.com/movie/islands/
The Gift,movie,"AUG 7, 2015",R,77,https://www.metacritic.com/movie/the-gift-2015/
Every Body,movie,"JUN 30, 2023",R,77,https://www.metacritic.com/movie/every-body/
Paper Moon,movie,"MAY 9, 1973",PG,77,https://www.metacritic.com/movie/paper-moon/
Dear Mr. Brody,movie,"MAR 4, 2022",N/A,77,https://www.metacritic.com/movie/dear-mr-brody/
The Shepherdess and the Seven Songs,movie,,N/A,77,https://www.metacritic.com/movie/the-shepherdess-and-the-seven-songs/
Donnie Brasco,movie,"FEB 28, 1997",R,77,https://www.metacritic.com/movie/donnie-brasco/
Victoria,movie,"OCT 9, 2015",Not Rated,77,https://www.metacritic.com/movie/victoria/
I Killed My Mother,movie,"JUL 30, 2010",Not Rated,77,https://www.metacritic.com/movie/i-killed-my-mother/
You Will Die At Twenty,movie,"JAN 22, 2021",N/A,77,https://www.metacritic.com/movie/you-will-die-at-twenty/
Courage Under Fire,movie,"APR 12, 1996",R,77,https://www.metacritic.com/movie/courage-under-fire/
Mugabe and the White African,movie,"JUL 23, 2010",Not Rated,77,https://www.metacritic.com/movie/mugabe-and-the-white-african/
Broker,movie,"DEC 26, 2022",R,77,https://www.metacritic.com/movie/broker/
Bunny Lake Is Missing,movie,"OCT 3, 1965",Not Rated,77,https://www.metacritic.com/movie/bunny-lake-is-missing/
Queen of Earth,movie,"AUG 26, 2015",Not Rated,77,https://www.metacritic.com/movie/queen-of-earth/
Paddington,movie,"JAN 16, 2015",PG,77,https://www.metacritic.com/movie/paddington/
 Women Talking,movie,"DEC 23, 2022",PG-13,77,https://www.metacritic.com/movie/women-talking/
Mississippi Grind,movie,"SEP 25, 2015",R,77,https://www.metacritic.com/movie/mississippi-grind/
The League,movie,"JUL 7, 2023",PG,77,https://www.metacritic.com/movie/the-league/
The Virgin Suicides,movie,"APR 21, 2000",R,77,https://www.metacritic.com/movie/the-virgin-suicides/
Mother of George,movie,"SEP 13, 2013",R,77,https://www.metacritic.com/movie/mother-of-george/
Wetlands,movie,"SEP 5, 2014",Not Rated,77,https://www.metacritic.com/movie/wetlands/
Fly Away Home,movie,"SEP 13, 1996",PG,77,https://www.metacritic.com/movie/fly-away-home/
51 Birch Street,movie,"OCT 18, 2006",Unrated,77,https://www.metacritic.com/movie/51-birch-street/
Sholem Aleichem: Laughing in the Darkness,movie,"JUL 6, 2011",Unrated,77,https://www.metacritic.com/movie/sholem-aleichem-laughing-in-the-darkness/
Alamar (To the Sea),movie,"JUL 16, 2010",G,77,https://www.metacritic.com/movie/to-the-sea/
A River Changes Course,movie,"OCT 4, 2013",Not Rated,77,https://www.metacritic.com/movie/a-river-changes-course/
The Masque of the Red Death,movie,"JUN 24, 1964",Not Rated,77,https://www.metacritic.com/movie/the-masque-of-the-red-death/
Expedition to the End of the World,movie,"AUG 20, 2014",Not Rated,77,https://www.metacritic.com/movie/expedition-to-the-end-of-the-world/
A Christmas Story,movie,"NOV 18, 1983",PG,77,https://www.metacritic.com/movie/a-christmas-story/
Crimes and Misdemeanors,movie,"OCT 13, 1989",PG-13,77,https://www.metacritic.com/movie/crimes-and-misdemeanors/
Our Song,movie,"MAY 23, 2001",R,77,https://www.metacritic.com/movie/our-song/
Pollock,movie,"DEC 15, 2000",R,77,https://www.metacritic.com/movie/pollock/
Icaros: A Vision,movie,"MAY 19, 2017",N/A,77,https://www.metacritic.com/movie/icaros-a-vision/
Let It Be Morning,movie,"FEB 3, 2023",N/A,77,https://www.metacritic.com/movie/let-it-be-morning/
Wild Tales,movie,"FEB 20, 2015",R,77,https://www.metacritic.com/movie/wild-tales/
Corpus Christi,movie,"FEB 19, 2020",Unrated,77,https://www.metacritic.com/movie/corpus-christi/
Linda Ronstadt: The Sound of My Voice,movie,"SEP 6, 2019",PG-13,77,https://www.metacritic.com/movie/linda-ronstadt-the-sound-of-my-voice/
Buoyancy,movie,"SEP 11, 2020",Not Rated,77,https://www.metacritic.com/movie/buoyancy/
Stand and Deliver,movie,"MAR 11, 1988",TV-PG,77,https://www.metacritic.com/movie/stand-and-deliver/
 The Royal Hotel,movie,"OCT 6, 2023",R,77,https://www.metacritic.com/movie/the-royal-hotel/
The Story of Film: A New Generation,movie,"SEP 9, 2022",N/A,77,https://www.metacritic.com/movie/the-story-of-film-a-new-generation/
Best of Enemies,movie,"JUL 31, 2015",R,77,https://www.metacritic.com/movie/best-of-enemies/
On Body and Soul,movie,"FEB 2, 2018",Not Rated,77,https://www.metacritic.com/movie/on-body-and-soul/
Buzzard,movie,"MAR 6, 2015",Not Rated,77,https://www.metacritic.com/movie/buzzard/
WarGames,movie,"JUN 3, 1983",PG,77,https://www.metacritic.com/movie/wargames/
Monty Python's Life of Brian,movie,"AUG 17, 1979",R,77,https://www.metacritic.com/movie/monty-pythons-life-of-brian/
24 Frames,movie,"FEB 2, 2018",Not Rated,77,https://www.metacritic.com/movie/24-frames/
God's Country,movie,"SEP 16, 2022",R,77,https://www.metacritic.com/movie/gods-country/
Shanghai Triad,movie,"DEC 22, 1995",R,77,https://www.metacritic.com/movie/shanghai-triad/
Grass,movie,"APR 19, 2019",N/A,77,https://www.metacritic.com/movie/grass-2018/
Hairspray,movie,"FEB 26, 1988",PG,77,https://www.metacritic.com/movie/hairspray-1988/
"Apolonia, Apolonia",movie,"JAN 12, 2024",N/A,77,https://www.metacritic.com/movie/apolonia-apolonia/
Red Riding Trilogy,movie,"MAR 3, 2009",Not Rated,77,https://www.metacritic.com/movie/red-riding-trilogy/
The Three Musketeers,movie,"MAR 29, 1974",PG,77,https://www.metacritic.com/movie/the-three-musketeers-1974/
Personal Shopper,movie,"MAR 10, 2017",R,77,https://www.metacritic.com/movie/personal-shopper/
8 Mile,movie,"NOV 8, 2002",R,77,https://www.metacritic.com/movie/8-mile/
Open Hearts,movie,"FEB 21, 2003",R,77,https://www.metacritic.com/movie/open-hearts/
Once Were Warriors,movie,"MAR 3, 1995",R,77,https://www.metacritic.com/movie/once-were-warriors/
Neighboring Sounds,movie,"AUG 24, 2012",Unrated,77,https://www.metacritic.com/movie/neighboring-sounds/
The Ghost Writer,movie,"FEB 19, 2010",PG-13,77,https://www.metacritic.com/movie/the-ghost-writer/
Ailey,movie,"JUL 23, 2021",PG-13,77,https://www.metacritic.com/movie/ailey/
The Teacher,movie,"AUG 30, 2017",Unrated,77,https://www.metacritic.com/movie/the-teacher/
Babyteeth,movie,"JUN 19, 2020",MA-17,77,https://www.metacritic.com/movie/babyteeth/
 The Jungle Book,movie,"APR 15, 2016",PG,77,https://www.metacritic.com/movie/the-jungle-book-2016/
Human Nature,movie,"MAR 13, 2020",N/A,77,https://www.metacritic.com/movie/human-nature-2019/
Guys and Dolls,movie,"DEC 23, 1955",Approved,77,https://www.metacritic.com/movie/guys-and-dolls/
Zulu,movie,"JUN 17, 1964",Approved,77,https://www.metacritic.com/movie/zulu/
Slalom,movie,"APR 9, 2021",Unrated,77,https://www.metacritic.com/movie/slalom/
The Hunting Ground,movie,"FEB 27, 2015",PG-13,77,https://www.metacritic.com/movie/the-hunting-ground/
While We're Young,movie,"MAR 27, 2015",R,77,https://www.metacritic.com/movie/while-were-young/
Inu-oh,movie,"AUG 12, 2022",PG-13,77,https://www.metacritic.com/movie/inu-oh/
12:08 East of Bucharest,movie,"JUN 6, 2007",Unrated,77,https://www.metacritic.com/movie/1208-east-of-bucharest/
Shut Up & Sing,movie,"OCT 27, 2006",R,77,https://www.metacritic.com/movie/shut-up-sing/
,movie,"NOV 20, 2015",Unrated,77,https://www.metacritic.com/movie/mediterranea/
Miss Sharon Jones!,movie,"JUL 29, 2016",Unrated,77,https://www.metacritic.com/movie/miss-sharon-jones!/
Jockey,movie,"DEC 29, 2021",R,77,https://www.metacritic.com/movie/jockey/
The Verdict,movie,"DEC 17, 1982",R,77,https://www.metacritic.com/movie/the-verdict/
Dallas Buyers Club,movie,"NOV 1, 2013",R,77,https://www.metacritic.com/movie/dallas-buyers-club/
Prophet's Prey,movie,"SEP 18, 2015",TV-14,77,https://www.metacritic.com/movie/prophets-prey/
Notre musique,movie,"NOV 24, 2004",N/A,77,https://www.metacritic.com/movie/notre-musique/
The Cockettes,movie,"JUN 28, 2002",R,77,https://www.metacritic.com/movie/the-cockettes/
The B-Side: Elsa Dorfman's Portrait Photography,movie,"JUN 30, 2017",R,77,https://www.metacritic.com/movie/the-b-side-elsa-dorfmans-portrait-photography/
The Imposter,movie,"JUL 13, 2012",R,77,https://www.metacritic.com/movie/the-imposter/
Güeros,movie,"MAY 20, 2015",Not Rated,77,https://www.metacritic.com/movie/gueros/
Unlovable,movie,"NOV 2, 2018",Not Rated,77,https://www.metacritic.com/movie/unlovable/
Win It All,movie,"APR 7, 2017",TV-MA,77,https://www.metacritic.com/movie/win-it-all/
The Feeling That the Time for Doing Something Has Passed,movie,"APR 26, 2024",N/A,77,https://www.metacritic.com/movie/the-feeling-that-the-time-for-doing-something-has-passed/
 The Promised Land,movie,"FEB 2, 2024",R,77,https://www.metacritic.com/movie/the-promised-land/
A Single Man,movie,"DEC 11, 2009",R,77,https://www.metacritic.com/movie/a-single-man/
My Brilliant Career,movie,"AUG 17, 1979",G,77,https://www.metacritic.com/movie/my-brilliant-career/
The Color of Money,movie,"OCT 17, 1986",R,77,https://www.metacritic.com/movie/the-color-of-money/
The Harder They Come,movie,"FEB 8, 1973",N/A,77,https://www.metacritic.com/movie/the-harder-they-come-1972/
Dìdi,movie,"JUL 26, 2024",R,77,https://www.metacritic.com/movie/didi/
Ornette: Made in America (1985),movie,"AUG 31, 2012",Unrated,77,https://www.metacritic.com/movie/ornette-made-in-america-1985/
Introduction,movie,"JAN 21, 2022",N/A,77,https://www.metacritic.com/movie/introduction/
The Messenger,movie,"NOV 13, 2009",R,77,https://www.metacritic.com/movie/the-messenger/
Private Fears in Public Places,movie,"APR 13, 2007",N/A,77,https://www.metacritic.com/movie/private-fears-in-public-places/
Under the Sea 3D,movie,"FEB 13, 2009",G,77,https://www.metacritic.com/movie/under-the-sea-3d/
"Play It Again, Sam",movie,"MAY 5, 1972",PG,77,https://www.metacritic.com/movie/play-it-again-sam/
The Devil and Daniel Johnston,movie,"MAR 31, 2006",PG-13,77,https://www.metacritic.com/movie/the-devil-and-daniel-johnston/
Sin Nombre,movie,"MAR 20, 2009",R,77,https://www.metacritic.com/movie/sin-nombre/
Children of Heaven,movie,"JAN 22, 1999",PG,77,https://www.metacritic.com/movie/children-of-heaven/
Incitement,movie,"JAN 31, 2020",N/A,77,https://www.metacritic.com/movie/incitement/
Revenge of the Mekons,movie,"OCT 29, 2014",Not Rated,77,https://www.metacritic.com/movie/revenge-of-the-mekons/
Marona's Fantastic Tale,movie,"JUN 12, 2020",Not Rated,77,https://www.metacritic.com/movie/maronas-fantastic-tale/
The Nightingale,movie,"AUG 2, 2019",R,77,https://www.metacritic.com/movie/the-nightingale-2018/
Mountain Patrol,movie,"APR 14, 2006",PG-13,77,https://www.metacritic.com/movie/mountain-patrol/
Child's Pose,movie,"FEB 19, 2014",Not Rated,77,https://www.metacritic.com/movie/childs-pose/
The Man Who Knew Too Much,movie,"APR 15, 1935",Approved,77,https://www.metacritic.com/movie/the-man-who-knew-too-much-1935/
Grandma,movie,"AUG 21, 2015",R,77,https://www.metacritic.com/movie/grandma/
The Road Warrior,movie,"MAY 21, 1982",R,77,https://www.metacritic.com/movie/the-road-warrior/
" I, Tonya",movie,"DEC 8, 2017",R,77,https://www.metacritic.com/movie/i-tonya/
God Loves Uganda,movie,"OCT 11, 2013",TV-14,77,https://www.metacritic.com/movie/god-loves-uganda/
Evolution,movie,"NOV 25, 2016",Not Rated,77,https://www.metacritic.com/movie/evolution-2015/
Ulee's Gold,movie,"JUN 6, 1997",R,77,https://www.metacritic.com/movie/ulees-gold/
Humanité,movie,"JUN 16, 2000",Not Rated,77,https://www.metacritic.com/movie/humanite/
Fat Girl,movie,"OCT 10, 2001",Not Rated,77,https://www.metacritic.com/movie/fat-girl/
How to Change the World,movie,"SEP 9, 2015",Not Rated,77,https://www.metacritic.com/movie/how-to-change-the-world/
Grindhouse,movie,"APR 6, 2007",R,77,https://www.metacritic.com/movie/grindhouse/
Caesar Must Die,movie,"FEB 6, 2013",Unrated,77,https://www.metacritic.com/movie/caesar-must-die/
Body Heat,movie,"AUG 28, 1981",R,77,https://www.metacritic.com/movie/body-heat/
The Pool,movie,"SEP 3, 2008",Unrated,77,https://www.metacritic.com/movie/the-pool/
Benda Bilili!,movie,"SEP 30, 2011",PG-13,77,https://www.metacritic.com/movie/benda-bilili!/
Gerhard Richter - Painting,movie,"MAR 14, 2012",Unrated,77,https://www.metacritic.com/movie/gerhard-richter---painting/
The Twentieth Century,movie,"NOV 20, 2020",N/A,77,https://www.metacritic.com/movie/the-twentieth-century/
Pom Poko,movie,"DEC 25, 1995",PG,77,https://www.metacritic.com/movie/pom-poko/
The War Tapes,movie,"JUN 2, 2006",Not Rated,77,https://www.metacritic.com/movie/the-war-tapes/
Maestro,movie,"NOV 22, 2023",R,77,https://www.metacritic.com/movie/maestro-2023/
Jerry Maguire,movie,"DEC 13, 1996",R,77,https://www.metacritic.com/movie/jerry-maguire/
Songs from the Second Floor,movie,"JUL 3, 2002",Not Rated,77,https://www.metacritic.com/movie/songs-from-the-second-floor/
Baden Baden,movie,"NOV 25, 2016",Not Rated,77,https://www.metacritic.com/movie/baden-baden/
"Jim & Andy: The Great Beyond — Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",movie,"NOV 17, 2017",TV-MA,77,https://www.metacritic.com/movie/jim-andy-the-great-beyond-featuring-a-very-special-contractually-obligated-mention-of-tony-clifton/
Relic,movie,"JUL 10, 2020",R,77,https://www.metacritic.com/movie/relic/
"3 1/2 Minutes, 10 Bullets",movie,"JUN 19, 2015",TV-MA,77,https://www.metacritic.com/movie/3-12-minutes-10-bullets/
A Band Called Death,movie,"JUN 28, 2013",Not Rated,77,https://www.metacritic.com/movie/a-band-called-death/
 Ruby in Paradise,movie,"NOV 5, 1993",R,77,https://www.metacritic.com/movie/ruby-in-paradise/
The Decline of Western Civilization Part III,movie,"JUL 7, 2000",R,77,https://www.metacritic.com/movie/the-decline-of-western-civilization-part-iii/
Burden of Dreams,movie,"MAY 30, 1982",Not Rated,77,https://www.metacritic.com/movie/burden-of-dreams/
Chi-Raq,movie,"DEC 4, 2015",R,77,https://www.metacritic.com/movie/chi-raq/
We Feed People,movie,"MAY 27, 2022",TV-14,77,https://www.metacritic.com/movie/we-feed-people/
Olga,movie,"JUN 24, 2022",N/A,77,https://www.metacritic.com/movie/olga/
Pump Up the Volume,movie,"AUG 22, 1990",R,77,https://www.metacritic.com/movie/pump-up-the-volume/
Starving the Beast,movie,"SEP 2, 2016",Not Rated,77,https://www.metacritic.com/movie/starving-the-beast/
The Autobiography of Miss Jane Pittman,movie,"JAN 31, 1974",TV-PG,77,https://www.metacritic.com/movie/the-autobiography-of-miss-jane-pittman/
Animal Crackers,movie,"SEP 6, 1930",TV-G,77,https://www.metacritic.com/movie/animal-crackers-1930/
Love Lies Bleeding,movie,"MAR 8, 2024",R,77,https://www.metacritic.com/movie/love-lies-bleeding/
Saturday Night Fever,movie,"DEC 16, 1977",TV-MA,77,https://www.metacritic.com/movie/saturday-night-fever/
Girls State,movie,"APR 5, 2024",TV-14,77,https://www.metacritic.com/movie/girls-state/
Calvary,movie,"AUG 1, 2014",R,77,https://www.metacritic.com/movie/calvary/
The House I Live In,movie,"OCT 5, 2012",Not Rated,77,https://www.metacritic.com/movie/the-house-i-live-in/
Breakfast at Tiffany's,movie,"OCT 5, 1961",Approved,77,https://www.metacritic.com/movie/breakfast-at-tiffanys/
Suzume,movie,"APR 14, 2023",TV-14,77,https://www.metacritic.com/movie/suzume/
Tom Jones,movie,"OCT 24, 1963",Not Rated,77,https://www.metacritic.com/movie/tom-jones/
Apprentice,movie,"MAR 3, 2017",N/A,77,https://www.metacritic.com/movie/apprentice/
Apples,movie,"JUN 24, 2022",N/A,77,https://www.metacritic.com/movie/apples/
People's Republic of Desire,movie,"NOV 30, 2018",N/A,77,https://www.metacritic.com/movie/peoples-republic-of-desire/
Little Fish,movie,"FEB 24, 2006",R,77,https://www.metacritic.com/movie/little-fish/
Keep On Keepin' On,movie,"SEP 19, 2014",R,77,https://www.metacritic.com/movie/keep-on-keepin-on/
The Hunt,movie,"JUL 12, 2013",R,77,https://www.metacritic.com/movie/the-hunt/
 Small Axe: Alex Wheatle,movie,"DEC 11, 2020",TV-MA,77,https://www.metacritic.com/movie/small-axe-alex-wheatle/
Hoosiers,movie,"NOV 14, 1986",PG,77,https://www.metacritic.com/movie/hoosiers/
A Touch of Sin,movie,"OCT 4, 2013",Not Rated,77,https://www.metacritic.com/movie/a-touch-of-sin/
The Beguiled,movie,"JUN 23, 2017",R,77,https://www.metacritic.com/movie/the-beguiled/
Winter Kills,movie,"MAY 11, 1979",R,77,https://www.metacritic.com/movie/winter-kills/
On the Adamant,movie,"MAR 29, 2024",N/A,77,https://www.metacritic.com/movie/on-the-adamant/
The Heiresses,movie,"JAN 16, 2019",TV-14,77,https://www.metacritic.com/movie/the-heiresses/
The Mustang,movie,"MAR 15, 2019",R,77,https://www.metacritic.com/movie/the-mustang/
Daughter from Danang,movie,"NOV 1, 2002",PG,77,https://www.metacritic.com/movie/daughter-from-danang/
Scratch,movie,"FEB 15, 2002",R,77,https://www.metacritic.com/movie/scratch/
Carnal Knowledge,movie,"JUN 30, 1971",R,77,https://www.metacritic.com/movie/carnal-knowledge/
Under the City's Skin,movie,"MAR 14, 2003",N/A,77,https://www.metacritic.com/movie/under-the-citys-skin/
Somers Town,movie,"JUL 15, 2009",Not Rated,77,https://www.metacritic.com/movie/somers-town/
La Flor,movie,"AUG 2, 2019",N/A,77,https://www.metacritic.com/movie/la-flor/
Shanghai Noon,movie,"MAY 26, 2000",PG-13,77,https://www.metacritic.com/movie/shanghai-noon/
Village of the Damned,movie,"DEC 7, 1960",Approved,77,https://www.metacritic.com/movie/village-of-the-damned-1960/
Presenting Princess Shaw,movie,"MAY 27, 2016",Not Rated,77,https://www.metacritic.com/movie/presenting-princess-shaw/
Clara Sola,movie,"JUL 1, 2022",N/A,77,https://www.metacritic.com/movie/clara-sola/
The Holy Girl,movie,"APR 29, 2005",R,77,https://www.metacritic.com/movie/the-holy-girl/
Philomena,movie,"NOV 22, 2013",PG-13,77,https://www.metacritic.com/movie/philomena/
First Love,movie,"SEP 27, 2019",TV-MA,77,https://www.metacritic.com/movie/first-love-2019/
Jauja,movie,"MAR 20, 2015",Not Rated,77,https://www.metacritic.com/movie/jauja/
Get Low,movie,"JUL 30, 2010",PG-13,77,https://www.metacritic.com/movie/get-low/
Changing the Game,movie,"JUN 1, 2021",TV-14,77,https://www.metacritic.com/movie/changing-the-game/
 Blue Collar,movie,"FEB 10, 1978",R,77,https://www.metacritic.com/movie/blue-collar/
The Immigrant,movie,"MAY 16, 2014",R,77,https://www.metacritic.com/movie/the-immigrant/
Don't Call Me Son,movie,"NOV 2, 2016",Unrated,77,https://www.metacritic.com/movie/dont-call-me-son/
The Three Burials of Melquiades Estrada,movie,"DEC 16, 2005",R,77,https://www.metacritic.com/movie/the-three-burials-of-melquiades-estrada/
The Best Intentions,movie,"JUL 10, 1992",Not Rated,77,https://www.metacritic.com/movie/the-best-intentions/
The Amusement Park,movie,"JUN 8, 2021",N/A,77,https://www.metacritic.com/movie/the-amusement-park/
Detroit,movie,"JUL 28, 2017",R,77,https://www.metacritic.com/movie/detroit/
Kirikou and the Sorceress,movie,"OCT 27, 2000",TV-PG,77,https://www.metacritic.com/movie/kirikou-and-the-sorceress/
The Edge of Seventeen,movie,"NOV 18, 2016",R,77,https://www.metacritic.com/movie/the-edge-of-seventeen/
Brooklyn Castle,movie,"OCT 19, 2012",PG,77,https://www.metacritic.com/movie/brooklyn-castle/
Logan,movie,"MAR 3, 2017",R,77,https://www.metacritic.com/movie/logan-2017/
Circo,movie,"APR 1, 2011",Unrated,77,https://www.metacritic.com/movie/circo/
Stephanie Daley,movie,"APR 20, 2007",R,77,https://www.metacritic.com/movie/stephanie-daley/
Water,movie,"APR 28, 2006",PG-13,77,https://www.metacritic.com/movie/water/
The Rape of Europa,movie,"SEP 14, 2007",Unrated,77,https://www.metacritic.com/movie/the-rape-of-europa/
Marlina the Murderer in Four Acts,movie,"JUN 22, 2018",Not Rated,77,https://www.metacritic.com/movie/marlina-the-murderer-in-four-acts/
Bukowski: Born into This,movie,"MAY 28, 2004",R,77,https://www.metacritic.com/movie/bukowski-born-into-this/
Home of the Brave,movie,"OCT 27, 2004",Not Rated,77,https://www.metacritic.com/movie/home-of-the-brave-2004/
Monsoon Wedding,movie,"FEB 22, 2002",R,77,https://www.metacritic.com/movie/monsoon-wedding/
Italian for Beginners,movie,"JAN 18, 2002",R,77,https://www.metacritic.com/movie/italian-for-beginners/
Gerald's Game,movie,"SEP 29, 2017",TV-MA,77,https://www.metacritic.com/movie/geralds-game/
Louder Than a Bomb,movie,"MAY 18, 2011",Not Rated,77,https://www.metacritic.com/movie/louder-than-a-bomb/
The Plot Against Harry,movie,"JAN 12, 1990",N/A,77,https://www.metacritic.com/movie/the-plot-against-harry/
I Stand Alone,movie,"SEP 27, 1998",Not Rated,77,https://www.metacritic.com/movie/i-stand-alone/
 The Big Easy,movie,"AUG 21, 1987",R,77,https://www.metacritic.com/movie/the-big-easy/
Code Black,movie,"JUN 20, 2014",Not Rated,77,https://www.metacritic.com/movie/code-black/
The Wife,movie,"AUG 17, 2018",R,77,https://www.metacritic.com/movie/the-wife/
Bedazzled,movie,"DEC 10, 1967",Approved,77,https://www.metacritic.com/movie/bedazzled-1967/
How to Train Your Dragon 2,movie,"JUN 13, 2014",PG,77,https://www.metacritic.com/movie/how-to-train-your-dragon-2/
Miles Davis: Birth of the Cool,movie,"AUG 23, 2019",Not Rated,76,https://www.metacritic.com/movie/miles-davis-birth-of-the-cool/
Career Girls,movie,"AUG 8, 1997",R,76,https://www.metacritic.com/movie/career-girls/
Promare,movie,"SEP 17, 2019",PG-13,76,https://www.metacritic.com/movie/promare/
Dheepan,movie,"MAY 6, 2016",R,76,https://www.metacritic.com/movie/dheepan/
The Disaster Artist,movie,"DEC 1, 2017",R,76,https://www.metacritic.com/movie/the-disaster-artist/
